Model,Accuracy,Accuracy_Std,Precision,Recall,F1-Score,ROC-AUC,Error_Rate,Execution_Time_s,TPR,TNR,FPR,FNR,TP,FN,FP,TN
10. Extra Trees,0.889025974025974,0.030393078945135207,0.8580754892823859,0.9438423645320198,0.89687008755528,0.9253673404227591,0.11097402597402595,18.93424105644226,0.9438423645320198,0.8321167883211679,0.1678832116788321,0.056338028169014086,134,8,23,114
09. Random Forest,0.8744805194805194,0.039373145170714684,0.8504210716544682,0.9150246305418719,0.8806105699005531,0.9211918771339953,0.1255194805194806,25.792524337768555,0.9150246305418719,0.8321167883211679,0.1678832116788321,0.08450704225352113,130,12,23,114
14. Bagging Classifier,0.8602597402597404,0.05792397061726247,0.8417347979236188,0.8935960591133005,0.8666715413150827,0.919694985273803,0.1397402597402596,13.636685132980347,0.8935960591133005,0.8248175182481752,0.17518248175182483,0.1056338028169014,127,15,24,113
02. Ridge Classifier,0.852987012987013,0.05479742358887333,0.8157799190057254,0.9219211822660099,0.8650250375346055,0.9197441811973832,0.14701298701298704,11.289325475692749,0.9219211822660099,0.781021897810219,0.21897810218978103,0.07746478873239436,131,11,30,107
01. Logistic Regression,0.8529220779220779,0.061590832072465504,0.8383112290008841,0.8790640394088671,0.8573388121393238,0.922287708186723,0.14707792207792214,11.421546936035156,0.8790640394088671,0.8248175182481752,0.17518248175182483,0.11971830985915492,125,17,24,113
13. AdaBoost,0.8491558441558441,0.06748924690871087,0.8336894297949066,0.8795566502463054,0.8546823640717044,0.899391404071207,0.1508441558441559,24.745148181915283,0.8795566502463054,0.8175182481751825,0.18248175182481752,0.11971830985915492,125,17,25,112
08. Quadratic Discriminant Analysis,0.8461688311688313,0.05788311834004,0.8025865800865801,0.9293103448275863,0.8606132847900796,0.9092657752756276,0.15383116883116865,10.43960690498352,0.9293103448275863,0.7591240875912408,0.24087591240875914,0.07042253521126761,132,10,33,104
12. Hist Gradient Boosting,0.8458441558441558,0.043266151415667836,0.8327292202709333,0.8729064039408867,0.8513519473693225,0.8922276956759717,0.15415584415584416,15.558313608169556,0.8729064039408867,0.8175182481751825,0.18248175182481752,0.1267605633802817,124,18,25,112
03. SGD Classifier,0.8458441558441556,0.08274327558322708,0.8559577739931876,0.8366995073891627,0.8433489899357879,0.9223988062658014,0.15415584415584438,10.707865953445435,0.8366995073891627,0.8540145985401459,0.145985401459854,0.1619718309859155,119,23,20,117
07. Linear Discriminant Analysis,0.8422077922077922,0.04874889449122974,0.808853347790729,0.9078817733990148,0.8545675507686028,0.9156915448171604,0.15779220779220782,10.214401245117188,0.9078817733990148,0.7737226277372263,0.22627737226277372,0.09154929577464789,129,13,31,106
05. SVM (Linear Kernel),0.842077922077922,0.060942034122782845,0.8212158808933003,0.8790640394088671,0.8481923991232133,0.9261305288398886,0.15792207792207802,11.044603109359741,0.8790640394088671,0.8029197080291971,0.19708029197080293,0.11971830985915492,125,17,27,110
04. SVM (RBF Kernel),0.8386363636363636,0.06408205967932165,0.8357698699150312,0.8588669950738916,0.844153005464481,0.9129864206218887,0.16136363636363638,11.461504936218262,0.8588669950738916,0.8175182481751825,0.18248175182481752,0.14084507042253522,122,20,25,112
11. Gradient Boosting,0.8351298701298701,0.055762323007823786,0.8067285000763376,0.8862068965517242,0.8442413901242201,0.8973421169233976,0.16487012987012994,24.646167755126953,0.8862068965517242,0.781021897810219,0.21897810218978103,0.11267605633802817,126,16,30,107
15. Multi-layer Perceptron,0.810064935064935,0.04301182240094732,0.8049482380364733,0.8379310344827587,0.8171200384315138,0.8618040894518726,0.18993506493506496,7.852048397064209,0.8379310344827587,0.781021897810219,0.21897810218978103,0.1619718309859155,119,23,30,107
06. K-Nearest Neighbors,0.8099350649350651,0.033739124982167516,0.7553825740822644,0.9295566502463055,0.8328631941535166,0.8835850144655563,0.19006493506493494,9.611100196838379,0.9295566502463055,0.6861313868613139,0.31386861313868614,0.07042253521126761,132,10,43,94
