Model,Accuracy,Accuracy_Std,Precision,Recall,F1-Score,ROC-AUC,Error_Rate,Execution_Time_s,TPR,TNR,FPR,FNR,TP,FN,FP,TN
10. Extra Trees,0.8673376623376623,0.050121962905077054,0.8334229390681003,0.9290640394088671,0.8776008102506123,0.9290588265957724,0.1326623376623377,8.756180047988892,0.9290640394088671,0.8029197080291971,0.19708029197080293,0.07042253521126761,132,10,27,110
09. Random Forest,0.8672727272727272,0.04355463512087704,0.8437381602453906,0.9078817733990148,0.8741476114138717,0.9224281283394584,0.1327272727272728,10.83211374282837,0.9078817733990148,0.8248175182481752,0.17518248175182483,0.09154929577464789,129,13,24,113
08. Quadratic Discriminant Analysis,0.8638311688311688,0.03664869715102112,0.8112745098039216,0.9576354679802955,0.8777928344791116,0.9177734120468111,0.13616883116883116,2.1738202571868896,0.9576354679802955,0.7664233576642335,0.23357664233576642,0.04225352112676056,136,6,32,105
04. SVM (RBF Kernel),0.8599350649350651,0.057957810304923876,0.857038287383115,0.8724137931034482,0.8632931803398696,0.9094563687543984,0.1400649350649349,2.346090316772461,0.8724137931034482,0.8467153284671532,0.15328467153284672,0.1267605633802817,124,18,21,116
14. Bagging Classifier,0.8566883116883117,0.06764931200493543,0.8502006344498001,0.8724137931034484,0.8607454345975987,0.9231764928193499,0.14331168831168828,6.030200958251953,0.8724137931034484,0.8394160583941606,0.16058394160583941,0.1267605633802817,124,18,22,115
05. SVM (Linear Kernel),0.8564935064935065,0.0509812634451702,0.8329073835715203,0.9004926108374385,0.8637638528406046,0.9260963197539551,0.14350649350649347,2.3242809772491455,0.9004926108374385,0.8102189781021898,0.1897810218978102,0.09859154929577464,128,14,26,111
02. Ridge Classifier,0.8564285714285715,0.061461785040854144,0.8205166324117936,0.9290640394088671,0.8685058578077355,0.9097567571089737,0.14357142857142846,2.2812552452087402,0.9290640394088671,0.781021897810219,0.21897810218978103,0.07042253521126761,132,10,30,107
01. Logistic Regression,0.8530519480519481,0.045707828646690395,0.8367890729959695,0.8866995073891625,0.8602500689989713,0.924537037037037,0.14694805194805194,2.2501559257507324,0.8866995073891625,0.8175182481751825,0.18248175182481752,0.11267605633802817,126,16,25,112
03. SGD Classifier,0.8494805194805195,0.04157345508029383,0.8337357936671717,0.8869458128078819,0.8576377044452684,0.9112596762843068,0.1505194805194805,2.423361301422119,0.8869458128078819,0.8102189781021898,0.1897810218978102,0.11267605633802817,126,16,26,111
07. Linear Discriminant Analysis,0.8492207792207791,0.06329040601337481,0.8095828902280516,0.9290640394088671,0.8626978952784615,0.9102767352151588,0.1507792207792209,2.239597797393799,0.9290640394088671,0.7664233576642335,0.23357664233576642,0.07042253521126761,132,10,32,105
06. K-Nearest Neighbors,0.8421428571428571,0.051577166281530556,0.7815142991613581,0.9645320197044336,0.8621270034591582,0.8982652735423671,0.15785714285714292,3.134805917739868,0.9645320197044336,0.7153284671532847,0.2846715328467153,0.035211267605633804,137,5,39,98
12. Hist Gradient Boosting,0.8387012987012987,0.04073732234213921,0.8253822402209499,0.8652709359605911,0.8440437965533645,0.8945770453775379,0.16129870129870127,5.215892553329468,0.8652709359605911,0.8102189781021898,0.1897810218978102,0.13380281690140844,123,19,26,111
11. Gradient Boosting,0.8350649350649351,0.03669836662583064,0.8238402457757298,0.8583743842364532,0.8405254515599344,0.9007587901060807,0.16493506493506493,9.334093809127808,0.8583743842364532,0.8102189781021898,0.1897810218978102,0.14084507042253522,122,20,26,111
13. AdaBoost,0.8348701298701299,0.05569657333561069,0.8315836526181354,0.8514778325123151,0.8383140858815874,0.8829687622175306,0.16512987012987013,8.58633828163147,0.8514778325123151,0.8175182481751825,0.18248175182481752,0.14788732394366197,121,21,25,112
15. Multi-layer Perceptron,0.8026623376623376,0.06266768700671395,0.7824116743471583,0.8512315270935961,0.8143349753694581,0.871706805327495,0.19733766233766237,3.700749397277832,0.8512315270935961,0.7518248175182481,0.24817518248175183,0.14788732394366197,121,21,34,103
